kytreasno,type,maturity_date,ttm,cpn_rate,price,reported_ytm_percent,calculated_ytm_percent,ytm_difference_bps
208116,note,2025-09-30,0.4188911704312115,5.0,100.31652975,4.210715869298287,4.353161448948538,14.244557965025079
207609,note,2025-09-30,0.4188911704312115,0.25,98.38308814999999,4.1831768779913245,28.697842516341098,2451.4665638349775
207256,note,2025-09-30,0.4188911704312115,3.0,99.50861809999999,4.184203597800362,4.002431021600109,-18.177257620025298
208292,bill,2025-10-02,0.4243668720054757,0.0,98.25441,4.1930730539363905,4.193073053936258,-1.3253287356462806e-11
208381,bill,2025-10-09,0.4435318275154004,0.0,98.1871847,4.167555296126446,4.167555296126313,-1.3322676295501878e-11
207958,note,2025-10-15,0.459958932238193,4.25,100.05419215,4.1174452867844815,4.1393724850537845,2.1927198269303116
208382,bill,2025-10-16,0.4626967830253251,0.0,98.1100778,4.1664767316779825,4.16647673167776,-2.2273849431542203e-11
208383,bill,2025-10-23,0.4818617385352498,0.0,98.03611115,4.158828912613899,4.1588289126138545,-4.440892098500626e-12
208301,bill,2025-10-30,0.5010266940451745,0.0,97.9626111,4.1509120101435935,4.150912010143504,-8.951173136040325e-12
208129,note,2025-10-31,0.5037645448323066,5.0,100.4072362,4.137080909007418,4.168551748265298,3.147083925787997
207268,note,2025-10-31,0.5037645448323066,3.0,99.41578055,4.161278049841144,4.192934840866114,3.1656791024969877
207624,note,2025-10-31,0.5037645448323066,0.25,98.08212175,4.134199867562005,29.399605132420593,2526.5405264858587
207972,note,2025-11-15,0.5448323066392882,4.5,100.17423085,4.141746429105586,4.144317620183602,0.2571191078016427
206915,note,2025-11-15,0.5448323066392882,2.25,98.99116095,4.125807762097367,4.311170875302232,18.53631132048651
208315,bill,2025-11-28,0.5804243668720055,0.0,97.71416665,4.0238626811790015,4.023862681179002,6.938893903907228e-14
208143,note,2025-11-30,0.5859000684462696,4.875,100.4338539,4.10575260671453,3.989981509611229,-11.577109710330102
207283,note,2025-11-30,0.5859000684462696,2.875,99.2814448,4.1216415739357535,4.34331954846808,22.167797453232634
207636,note,2025-11-30,0.5859000684462696,0.375,97.87199145,4.086731546785938,42.6639087254416,3857.7177178655666
207988,note,2025-12-15,0.6269678302532512,4.0,99.98657589999999,4.012003887378457,4.027388840705375,1.5384953326918334
208331,bill,2025-12-26,0.6570841889117043,0.0,97.4555352,3.9611919436763445,3.961191943676212,-1.3253287356462806e-11
207297,note,2025-12-31,0.6707734428473648,2.625,99.06895785,4.03253987530654,4.5292535597213135,49.67136844147735
207652,note,2025-12-31,0.6707734428473648,0.375,97.61418139999999,4.013585748735604,43.30481144617785,3929.1225697442246
208158,note,2025-12-31,0.6707734428473648,4.25,100.12605405,4.036131237621188,3.992858739847613,-4.327249777357489
208001,note,2026-01-15,0.7118412046543463,3.875,99.92292855,3.969024284290601,4.032250614015836,6.322632972523487
208343,bill,2026-01-22,0.731006160164271,0.0,97.19565804999999,3.929193451286972,3.9291934512870164,4.440892098500626e-12
207665,note,2026-01-31,0.75564681724846,0.375,97.3235724,4.0047492606226855,41.02547565438287,3702.0726393760183
207311,note,2026-01-31,0.75564681724846,2.625,98.96430459999999,4.020747166882099,3.689441236232785,-33.13059306493143
208171,note,2026-01-31,0.75564681724846,4.25,100.16203985,4.014747958982579,4.08298139462505,6.823343564247089
204086,bond,2026-02-15,0.7967145790554415,6.0,101.60160155,3.921293149393712,4.346007127161841,42.471397776812914
208014,note,2026-02-15,0.7967145790554415,4.0,99.986645,4.0055773414615645,4.013758359415425,0.8181017953860087
206949,note,2026-02-15,0.7967145790554415,1.625,98.14954215,4.003293974448541,3.524515010988791,-47.877896345975
208356,bill,2026-02-19,0.8076659822039699,0.0,96.92524999999999,3.904333425845641,3.9043334258458184,1.7763568394002505e-11
208187,note,2026-02-28,0.8323066392881588,4.625,100.5011134,4.0110217088526126,4.108393490705925,9.737178185331222
207676,note,2026-02-28,0.8323066392881588,0.5,97.17197924999999,3.988752975064669,54.019217451416345,5003.046447635168
207326,note,2026-02-28,0.8323066392881588,2.5,98.7765807,4.011563091509451,3.7580084320877103,-25.35546594217411
208031,note,2026-03-15,0.8733744010951403,4.625,100.57416705,3.953049169472589,4.033406285633764,8.035711616117478
208371,bill,2026-03-19,0.8843258042436687,0.0,96.65293295,3.8869598590727685,3.886959859072636,-1.3253287356462806e-11
208200,note,2026-03-31,0.917180013689254,4.5,100.5105109,3.928607448621957,3.9742225709901886,4.561512236823176
207690,note,2026-03-31,0.917180013689254,0.75,97.1743359,3.916677764449039,79.60605392614451,7568.937616169546
207337,note,2026-03-31,0.917180013689254,2.25,98.51271265,3.917099416158676,3.7795787938733323,-13.75206222853434
208043,note,2026-04-15,0.9582477754962354,3.75,99.8637846,3.89768286512866,3.890202451023156,-0.7480414105504041
208384,bill,2026-04-16,0.9609856262833676,0.0,96.40417535,3.8472769717315716,3.8472769717317057,1.339206523454095e-11
208213,note,2026-04-30,0.999315537303217,4.875,100.941008,3.90864676624596,3.906333936452725,-0.23128297932349662
207703,note,2026-04-30,0.999315537303217,0.75,96.93993325,3.9024939973878237,79.99805996534518,7609.5565967957355
207350,note,2026-04-30,0.999315537303217,2.375,98.5236437,3.897119814933925,3.894618746426301,-0.25010685076237715
206981,note,2026-05-15,1.040383299110198,1.625,97.7302283,3.872935054529192,3.96244611077834,8.951105624914815
208057,note,2026-05-15,1.040383299110198,3.625,99.7460067,3.8786017736167633,3.8864204823894126,0.7818708772649313
208227,note,2026-05-31,1.084188911704312,4.875,101.04296875,3.8844950897650046,3.802196112622029,-8.229897714297566
207715,note,2026-05-31,1.084188911704312,0.75,96.72265625,3.865948643351169,80.36282290299714,7649.6874259645965
207361,note,2026-05-31,1.084188911704312,2.125,98.1796875,3.8559607710480392,4.000103526624638,14.41427555765991
208074,note,2026-06-15,1.125256673511294,4.125,100.3144531,3.8374766174682504,3.80155318841059,-3.592342905766044
207731,note,2026-06-30,1.166324435318275,0.875,96.6679687,3.8240720756801414,93.31091877456922,8948.684669888908
208242,note,2026-06-30,1.166324435318275,4.625,100.9023437,3.8307729430558712,3.697556400955193,-13.321654210067813
207375,note,2026-06-30,1.166324435318275,1.875,97.7988281,3.824379652236898,4.144831979480899,32.04523272440016
208086,note,2026-07-15,1.207392197125257,4.5,100.80273435,3.818421491250845,3.675072702066125,-14.334878918472043
207389,note,2026-07-31,1.25119780971937,1.875,97.6972656,3.7792151945105426,3.463632747441799,-31.55824470687435
208255,note,2026-07-31,1.25119780971937,4.375,100.70117185,3.80190797503146,3.8892551508816884,8.734717585022825
207744,note,2026-07-31,1.25119780971937,0.625,96.171875,3.7873737091305593,66.92207219298481,6313.469848385425
208102,note,2026-08-15,1.292265571526352,4.375,100.74804685,3.783705233617818,3.8569451361133114,7.323990249549356
204087,bond,2026-08-15,1.292265571526352,6.75,103.9101562,3.6366036113834275,4.037285364968217,40.06817535847904
207009,note,2026-08-15,1.292265571526352,1.5,97.1523437,3.781154289219968,3.464587078154614,-31.65672110653536
207405,note,2026-08-31,1.336071184120465,1.375,96.9316406,3.748002745406387,3.492425261730444,-25.557748367594293
207759,note,2026-08-31,1.336071184120465,0.75,96.125,3.749005732003363,79.87360455898566,7612.45988269823
208273,note,2026-08-31,1.336071184120465,3.75,99.96679685,3.7675727577872298,3.7729758004106677,0.540304262343777
208117,note,2026-09-15,1.377138945927447,4.625,101.1738281,3.7323924796832655,3.8124259427227116,8.003346303944586
208287,note,2026-09-30,1.418206707734428,3.5,99.6816406,3.7305149600140197,3.7201838065210056,-1.0331153493014362
207777,note,2026-09-30,1.418206707734428,0.875,96.0898437,3.7308165848667576,92.82685664638315,8909.60400615164
207417,note,2026-09-30,1.418206707734428,1.625,97.13867185,3.7138934879460175,3.6016644469995134,-11.222904094650431
208130,note,2026-10-15,1.45927446954141,4.625,101.27148435,3.7197909756810246,3.7453993177297815,2.560834204875656
208302,note,2026-10-31,1.503080082135524,4.125,100.58203125,3.7147455983005617,3.722446516552439,0.7700918251877381
207791,note,2026-10-31,1.503080082135524,1.125,96.2695312,3.6970154038251213,3.7046774014742914,0.7661997649169999
207433,note,2026-10-31,1.503080082135524,1.625,96.9960937,3.694540699559923,3.7021978318034434,0.7657132243520798
208144,note,2026-11-15,1.544147843942505,4.625,101.35742185,3.7032025000218285,3.6864882062263793,-1.6714293795449393
204088,bond,2026-11-15,1.544147843942505,6.5,104.6640625,3.362288296660765,3.2878381620340944,-7.445013462667044
207036,note,2026-11-15,1.544147843942505,2.0,97.4609375,3.7029479648214902,3.756692612228505,5.374464740701482
207445,note,2026-11-30,1.585215605749487,1.625,96.8671875,3.6767995243491844,3.7932616585337913,11.646213418460698
208316,note,2026-11-30,1.585215605749487,4.25,100.84179685,3.6964546641530482,3.668092143226932,-2.836252092611666
207804,note,2026-11-30,1.585215605749487,1.25,96.2910156,3.679525631161651,3.8176485224662113,13.812289130456026
208159,note,2026-12-15,1.626283367556468,4.375,101.0800781,3.682555949795052,3.62866307689602,-5.389287289903205
207459,note,2026-12-31,1.670088980150582,1.75,96.9335937,3.656725466642774,3.8739717509477085,21.724628430493457
208332,note,2026-12-31,1.670088980150582,4.25,100.91796875,3.671694597909392,3.615760980057086,-5.59336178523058
207821,note,2026-12-31,1.670088980150582,1.25,96.12890625,3.658624158721402,3.9328850745657284,27.426091584432655
208172,note,2027-01-15,1.711156741957563,4.0,100.56054685,3.6537152198214073,3.6127208775189654,-4.09943423024417
208344,note,2027-01-31,1.754962354551677,4.125,100.78710935,3.653373290856843,3.7130114293456806,5.963813848883781
207472,note,2027-01-31,1.754962354551677,1.5,96.37890625,3.647197285632897,3.387864374689934,-25.933291094296305
208173,note,2027-02-15,1.796030116358659,4.125,100.8125,3.650077604017099,3.699789829888915,4.9712225871816065
204089,bond,2027-02-15,1.796030116358659,6.625,105.5507812,3.4073922146407485,3.719386339170408,31.199412452965966
207066,note,2027-02-15,1.796030116358659,2.25,97.6054687,3.637476523483585,3.500101898850301,-13.73746246332838
207845,note,2027-02-28,1.831622176591376,1.875,96.91015625,3.6355431030780325,3.4878599726296073,-14.768313044842483
208357,note,2027-02-28,1.831622176591376,4.125,100.85546875,3.641318502312707,3.677424508789888,3.610600647718093
207491,note,2027-02-28,1.831622176591376,1.125,95.6191406,3.6194395996183903,3.40957408905553,-20.98655105628601
208201,note,2027-03-15,1.872689938398357,4.25,101.1191406,3.6294732657554905,3.6645647494293727,3.5091483673882484
208372,note,2027-03-31,1.916495550992471,3.875,100.4726562,3.6192536918295835,3.6278585185300196,0.8604826700436136
207508,note,2027-03-31,1.916495550992471,0.625,94.53125,3.60410821770496,67.88579320711835,6428.16849894134
207862,note,2027-03-31,1.916495550992471,2.5,97.96484375,3.6097565038833768,3.563302528720974,-4.645397516240268
208214,note,2027-04-15,1.957563312799453,4.5,101.6660156,3.6132759270957937,3.6288665766829373,1.5590649587143846
207530,note,2027-04-30,1.998631074606434,0.5,94.07421875,3.599755964435758,55.25480735286404,5165.505138842828
208385,note,2027-04-30,1.998631074606434,3.75,100.29492185,3.59806017101163,3.595851929843721,-0.2208241167909325
207875,note,2027-04-30,1.998631074606434,2.75,98.3769531,3.600631812723387,3.5983506922189314,-0.22811205044555305
207094,note,2027-05-15,2.039698836413415,2.375,97.6035156,3.6056824436904833,3.6280719859609927,2.238954227050949
208228,note,2027-05-15,2.039698836413415,4.5,101.7304687,3.615088721615134,3.595532012869232,-1.9556708745901985
207887,note,2027-05-31,2.083504449007529,2.625,98.0507812,3.6057624141673914,3.6444086735950716,3.8646259427680545
207546,note,2027-05-31,2.083504449007529,0.5,93.8242187,3.603646889364054,55.48748647740995,5188.38395880459
208243,note,2027-06-15,2.12457221081451,4.625,102.109375,3.586936080694958,3.5234551195767736,-6.348096111818413
207904,note,2027-06-30,2.165639972621492,3.25,99.3125,3.5854271397709248,3.6093978174210597,2.3970677650134857
